State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9616202010456177	0.03394433354451513	7.536888679020329E-4	0.0	0.0	0.0	7.428731035957643E-5	0.003595002059627505	1.2487171978033706E-5	0.0
2	0.004303345531930391	0.979434949550516	0.00508514375550883	5.75784209025777E-4	0.0	0.0	0.009694144475346587	8.056189145618389E-4	9.907671630483486E-5	1.936846805970826E-6
3	0.0019343072468507817	0.10209008353861818	0.8876168750544723	0.0039648622655033255	6.394307219533961E-4	5.1608269865629326E-5	0.0019179477517022787	0.001725469287021851	4.213861694381947E-5	1.7277247068710428E-5
4	0.0	0.005999487109518258	0.002086929338682783	0.9692069968526431	0.010788460351976607	0.006135052261423307	0.005084845169433262	3.6468795685986195E-4	6.759920661015034E-5	2.6594175285250197E-4
5	9.062406820343211E-6	0.0	7.827664380825504E-4	0.024045801223621432	0.9282503820918662	0.04530166421365003	0.0	0.0	1.3285639504902544E-5	0.0015970379864546562
6	0.0	0.0	1.9468739882412049E-4	0.0341369165458427	0.1120024236252504	0.7785778982476359	0.0065039170281408635	0.0028602449153116083	0.0	0.06572391223899442
7	1.6583421018954132E-4	0.1973172891891458	0.001963589548051515	0.009904890561308556	0.0	0.002352103417796722	0.7012309514717042	0.08173688679866895	0.0051347910477773226	1.936637553572997E-4
8	0.023574506479584676	0.04198440267107632	0.004662032488104209	0.0021833488816800856	0.0	0.0028076796038157704	0.21404171686574355	0.5926021859853974	0.1165041104938538	0.0016400165307441496
9	9.122056870195658E-5	0.006195667948872839	1.559816807580437E-4	4.552494864531174E-4	1.3997032121602145E-5	1.8508456790885276E-8	0.01722671557373833	0.1446525292259846	0.7890053140219161	0.04220330595299673
10	0.0	1.118589766069247E-4	8.543998518123227E-5	0.0025437360246462043	0.008068310430203092	0.11818889233412377	0.0013097398348088163	0.003064252454466216	0.06102459286980488	0.8056031770901588
