15	10	E	-9769864.20597139	8
transitionprobs	10	8	0.028731157310880707
transitionprobs	10	9	0.030993298157762396
transitionprobs	10	10	0.8335628102989238
transitionprobs	10	11	1.646712653986438E-4
transitionprobs	10	12	0.0
transitionprobs	10	13	3.988568153078262E-4
transitionprobs	10	14	5.158793443400746E-5
transitionprobs	10	15	1.144448048577508E-6
transitionprobs	11	1	1.6820305229449476E-4
transitionprobs	11	2	3.0498788706853073E-6
transitionprobs	11	3	4.988491817980962E-4
transitionprobs	11	4	1.1779859972968719E-4
transitionprobs	11	5	0.00900262760141776
transitionprobs	11	6	0.003947777651357275
transitionprobs	11	7	3.6488657508701355E-5
transitionprobs	11	8	0.12636029386184697
transitionprobs	11	9	0.0018590810896330905
transitionprobs	11	10	4.3547560122370385E-4
transitionprobs	11	11	0.5795759159737585
transitionprobs	11	12	0.019469488332296152
transitionprobs	11	13	0.12478893744995986
transitionprobs	11	14	0.007936434218179146
transitionprobs	11	15	0.12579957885012594
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.024753958471611597
transitionprobs	12	6	0.010242544004687782
transitionprobs	12	7	5.339721066087806E-4
transitionprobs	12	8	0.015509624070529948
transitionprobs	12	9	1.5153886716984095E-4
transitionprobs	12	10	0.0
transitionprobs	12	11	0.007848231046682435
transitionprobs	12	12	0.5491897504098523
transitionprobs	12	13	0.3857052918292159
transitionprobs	12	14	0.0024862002296619054
transitionprobs	12	15	0.003578888963979505
transitionprobs	13	1	6.45090846634957E-4
transitionprobs	13	2	6.2210439687291E-8
transitionprobs	13	3	1.1473698158900025E-4
transitionprobs	13	4	5.793916762761968E-7
transitionprobs	13	5	0.005809638530474618
transitionprobs	13	6	2.3563536122123957E-4
transitionprobs	13	7	3.0327518811418505E-5
transitionprobs	13	8	1.3540567927123635E-4
transitionprobs	13	9	9.907103707749472E-5
transitionprobs	13	10	5.5528456664289475E-6
transitionprobs	13	11	5.247022276107226E-4
transitionprobs	13	12	0.00391025737993624
transitionprobs	13	13	0.9785855833051794
transitionprobs	13	14	0.005589761115151615
transitionprobs	13	15	0.004313595569259622
transitionprobs	14	1	0.0028036644055981687
transitionprobs	14	2	9.908405198561139E-4
transitionprobs	14	3	1.6634991358266894E-5
transitionprobs	14	4	2.324804697617486E-7
transitionprobs	14	5	0.0017583355892189399
transitionprobs	14	6	3.1215356710772755E-5
transitionprobs	14	7	1.3677189255880578E-4
transitionprobs	14	8	2.913920136963894E-5
transitionprobs	14	9	2.54014689315318E-4
transitionprobs	14	10	3.2304070792706886E-8
transitionprobs	14	11	7.758168426668364E-4
transitionprobs	14	12	4.702746365233623E-4
transitionprobs	14	13	0.12426927563591376
transitionprobs	14	14	0.8668845781183576
transitionprobs	14	15	0.0015791733360120607
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	2.466804820184421E-5
transitionprobs	15	6	1.9506794857967512E-8
transitionprobs	15	7	0.0
transitionprobs	15	8	2.820763990184174E-5
transitionprobs	15	9	2.8597898638368352E-8
transitionprobs	15	10	8.935397516988492E-7
transitionprobs	15	11	0.004458786058167361
transitionprobs	15	12	3.2952598104009844E-4
transitionprobs	15	13	0.034730008079085856
transitionprobs	15	14	5.572552609478333E-4
transitionprobs	15	15	0.9598706072882098
emissionprobs	1	0	H2A.Z	0	0.9999656229861869
emissionprobs	1	0	H2A.Z	1	3.43770138132092E-5
emissionprobs	1	1	H3K27ac	0	0.9992460613625032
emissionprobs	1	1	H3K27ac	1	7.539386374969479E-4
emissionprobs	1	2	H3K27me3	0	0.9999779161930636
emissionprobs	1	2	H3K27me3	1	2.2083806936401764E-5
emissionprobs	1	3	H3K36me3	0	0.7576562750452251
emissionprobs	1	3	H3K36me3	1	0.24234372495477488
emissionprobs	1	4	H3K4me1	0	0.9864150135430892
emissionprobs	1	4	H3K4me1	1	0.013584986456910704
emissionprobs	1	5	H3K4me2	0	0.9998982981199336
emissionprobs	1	5	H3K4me2	1	1.0170188006639528E-4
emissionprobs	1	6	H3K4me3	0	0.9999829759236485
emissionprobs	1	6	H3K4me3	1	1.702407635149938E-5
emissionprobs	1	7	H3K79me2	0	0.9721297455385601
emissionprobs	1	7	H3K79me2	1	0.02787025446143987
emissionprobs	1	8	H3K9ac	0	0.9996547190142725
emissionprobs	1	8	H3K9ac	1	3.452809857275608E-4
emissionprobs	1	9	H3K9me3	0	0.9959665354394924
emissionprobs	1	9	H3K9me3	1	0.004033464560507554
emissionprobs	2	0	H2A.Z	0	0.9999008257367996
emissionprobs	2	0	H2A.Z	1	9.917426320036768E-5
emissionprobs	2	1	H3K27ac	0	0.9965284421415966
emissionprobs	2	1	H3K27ac	1	0.003471557858403415
emissionprobs	2	2	H3K27me3	0	0.9998757347849392
emissionprobs	2	2	H3K27me3	1	1.2426521506070333E-4
emissionprobs	2	3	H3K36me3	0	0.2576358417729014
emissionprobs	2	3	H3K36me3	1	0.7423641582270987
emissionprobs	2	4	H3K4me1	0	0.8997576809298656
emissionprobs	2	4	H3K4me1	1	0.10024231907013435
emissionprobs	2	5	H3K4me2	0	0.9965132940476918
emissionprobs	2	5	H3K4me2	1	0.0034867059523081977
emissionprobs	2	6	H3K4me3	0	0.9983978918043757
emissionprobs	2	6	H3K4me3	1	0.001602108195624343
emissionprobs	2	7	H3K79me2	0	0.205283359409272
emissionprobs	2	7	H3K79me2	1	0.794716640590728
emissionprobs	2	8	H3K9ac	0	0.9982925519211263
emissionprobs	2	8	H3K9ac	1	0.0017074480788736132
emissionprobs	2	9	H3K9me3	0	0.8538060963155548
emissionprobs	2	9	H3K9me3	1	0.14619390368444524
emissionprobs	3	0	H2A.Z	0	0.9999651572050751
emissionprobs	3	0	H2A.Z	1	3.484279492491736E-5
emissionprobs	3	1	H3K27ac	0	0.9992712403597327
emissionprobs	3	1	H3K27ac	1	7.287596402672928E-4
emissionprobs	3	2	H3K27me3	0	0.9999299015266073
emissionprobs	3	2	H3K27me3	1	7.00984733927016E-5
emissionprobs	3	3	H3K36me3	0	0.9673635855874525
emissionprobs	3	3	H3K36me3	1	0.03263641441254754
emissionprobs	3	4	H3K4me1	0	0.9312637996798048
emissionprobs	3	4	H3K4me1	1	0.06873620032019521
emissionprobs	3	5	H3K4me2	0	0.9989536815230801
emissionprobs	3	5	H3K4me2	1	0.0010463184769200018
emissionprobs	3	6	H3K4me3	0	0.9999773243361277
emissionprobs	3	6	H3K4me3	1	2.267566387225123E-5
emissionprobs	3	7	H3K79me2	0	0.44481465792865
emissionprobs	3	7	H3K79me2	1	0.55518534207135
emissionprobs	3	8	H3K9ac	0	0.9996226318348936
emissionprobs	3	8	H3K9ac	1	3.7736816510631127E-4
emissionprobs	3	9	H3K9me3	0	0.9974115473481641
emissionprobs	3	9	H3K9me3	1	0.002588452651836013
emissionprobs	4	0	H2A.Z	0	0.9985253921400051
emissionprobs	4	0	H2A.Z	1	0.001474607859994864
emissionprobs	4	1	H3K27ac	0	0.8723883504364462
emissionprobs	4	1	H3K27ac	1	0.12761164956355367
emissionprobs	4	2	H3K27me3	0	0.9998810628147312
emissionprobs	4	2	H3K27me3	1	1.189371852687006E-4
emissionprobs	4	3	H3K36me3	0	0.74218045429383
emissionprobs	4	3	H3K36me3	1	0.25781954570617016
emissionprobs	4	4	H3K4me1	0	0.13784310831606586
emissionprobs	4	4	H3K4me1	1	0.8621568916839341
emissionprobs	4	5	H3K4me2	0	0.6242747408744719
emissionprobs	4	5	H3K4me2	1	0.37572525912552807
emissionprobs	4	6	H3K4me3	0	0.9258642654719706
emissionprobs	4	6	H3K4me3	1	0.07413573452802932
emissionprobs	4	7	H3K79me2	0	0.1203097846216228
emissionprobs	4	7	H3K79me2	1	0.8796902153783772
emissionprobs	4	8	H3K9ac	0	0.8594312521681887
emissionprobs	4	8	H3K9ac	1	0.1405687478318113
emissionprobs	4	9	H3K9me3	0	0.9917042704601675
emissionprobs	4	9	H3K9me3	1	0.008295729539832498
emissionprobs	5	0	H2A.Z	0	0.9189440878916854
emissionprobs	5	0	H2A.Z	1	0.08105591210831473
emissionprobs	5	1	H3K27ac	0	0.9600228125731933
emissionprobs	5	1	H3K27ac	1	0.03997718742680665
emissionprobs	5	2	H3K27me3	0	0.9985435668278805
emissionprobs	5	2	H3K27me3	1	0.001456433172119409
emissionprobs	5	3	H3K36me3	0	0.9733753920103819
emissionprobs	5	3	H3K36me3	1	0.026624607989618174
emissionprobs	5	4	H3K4me1	0	0.3562800124296845
emissionprobs	5	4	H3K4me1	1	0.6437199875703156
